,fitness,solution,computed_on,generation
34,58,"[1 0 1 0 1 0 1 1 1 1 1 0 0 0 1 0 1 1 0 1 1 1 0 1 1 0 1 0 1 1 0 1 1 0 1 1 0
 0 1 0 0 1 1 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 1 0 0 1 0
 1 0 1 0 0 1 1 0 0 0 1 1 1 0 0 1 1 0 0 1 0 1 1 0 0 0 1 1 1 0 0 1 0 0 0 1 1
 0 1 0 0 1 0 0 1 1 0]","21.06.2023, 16:08:38",0
35,48,"[0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 1 1 0 1 0 1
 1 1 0 1 0 0 1 1 1 0 0 0 1 1 1 1 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0
 0 0 0 1 1 1 1 1 1 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0
 1 1 0 1 0 0 1 0 0 1]","21.06.2023, 16:08:38",0
36,71,"[1 1 0 0 0 1 1 0 1 0 1 1 0 1 1 1 0 1 0 0 1 1 0 0 1 1 1 1 1 1 0 0 0 1 0 0 1
 0 1 1 1 0 0 1 1 0 0 1 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 0 0 0 1 1 1
 1 1 0 1 1 0 1 0 0 0 0 0 1 0 1 1 1 0 0 0 1 1 1 0 1 1 1 0 1 0 1 0 1 1 1 0 1
 1 1 1 1 1 0 0 1 1 0]","21.06.2023, 16:08:38",0
37,56,"[0 1 1 1 1 0 1 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1 1 0 0 0 1 0 1 1 0 0 0 1 0 0 1
 0 0 1 0 1 0 1 0 0 1 1 1 0 1 0 0 1 0 1 1 0 0 0 1 1 0 1 0 1 1 1 0 0 1 1 1 0
 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 0 1 1 0
 1 0 1 0 1 0 1 1 1 1]","21.06.2023, 16:08:38",0
38,57,"[1 0 0 0 1 1 1 0 0 0 1 0 0 1 1 0 1 1 1 0 0 1 1 0 0 0 1 1 1 1 0 0 0 1 0 1 0
 1 0 0 0 0 1 0 1 0 1 1 0 1 1 1 1 0 1 0 0 1 0 1 0 0 0 0 0 1 0 1 1 1 1 0 0 0
 1 0 0 1 0 1 0 1 1 0 0 1 1 1 1 1 0 1 1 0 0 0 1 0 1 1 0 1 1 0 1 0 0 0 0 1 0
 0 1 1 0 0 0 0 1 0 0]","21.06.2023, 16:08:38",0
39,63,"[1 1 1 0 1 0 0 1 0 0 0 0 1 1 1 1 1 0 0 1 0 1 1 0 1 1 0 0 0 1 1 0 1 0 0 1 0
 1 0 0 1 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 0
 1 1 0 0 1 1 0 1 1 1 0 0 1 1 1 0 1 1 1 1 1 0 0 1 0 1 0 0 1 0 0 1 1 1 1 1 1
 1 0 1 1 0 1 1 0 1 1]","21.06.2023, 16:08:38",0
40,64,"[0 0 0 0 0 0 1 1 0 0 1 1 0 1 1 1 1 1 0 0 1 1 1 0 1 1 1 0 1 1 0 0 0 1 0 0 1
 0 1 0 1 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1
 1 1 1 1 0 1 1 1 0 1 0 0 0 0 1 0 1 0 0 0 1 1 1 0 0 1 1 0 1 0 1 0 1 0 0 0 1
 1 1 1 0 1 0 0 0 1 0]","21.06.2023, 16:08:38",1
41,72,"[0 0 0 1 0 1 1 1 1 0 0 1 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 0 1 0 1 0 1 1 0 1
 1 0 0 1 0 0 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 0 0 1 0 1 1 1 1 1 1 0 0 0 1 0
 1 1 0 0 0 1 1 1 0 1 1 1 0 0 1 0 1 1 0 0 1 0 0 1 0 1 0 0 1 1 1 0 1 0 1 1 1
 1 0 1 1 0 0 0 0 1 1]","21.06.2023, 16:08:38",1
42,57,"[0 0 0 0 0 1 1 1 0 0 1 0 1 0 1 1 0 0 0 1 0 0 0 0 1 0 1 1 1 1 1 0 0 0 0 0 0
 1 0 0 0 0 1 1 1 1 0 1 0 0 1 1 0 0 0 1 1 0 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0
 1 0 1 1 0 1 1 1 0 1 0 0 1 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1 1 1 0 1 1 1 0
 0 1 0 1 1 1 0 0 1 1]","21.06.2023, 16:08:38",1
43,61,"[1 0 1 0 1 1 1 1 1 0 0 0 1 0 1 0 1 0 0 1 0 1 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0
 1 0 0 0 1 0 1 0 0 0 1 0 1 0 1 0 1 1 1 1 1 1 1 0 1 0 0 0 0 1 0 1 0 0 1 1 0
 0 1 1 1 0 1 1 1 1 1 0 0 1 1 0 0 0 1 0 1 1 1 1 1 1 0 1 1 0 0 0 1 0 0 1 0 0
 1 0 0 0 1 1 0 1 1 0]","21.06.2023, 16:08:38",1
44,62,"[0 1 1 1 1 1 1 0 1 1 1 0 1 0 1 0 1 0 1 1 1 1 0 1 0 1 0 0 0 1 0 0 1 0 1 0 1
 0 1 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 1 0 1 1 1 1 1 1 1 0 0 0 1 0 1 0 1 1 0 0
 0 1 0 1 0 0 0 0 1 1 0 0 1 1 0 1 0 1 0 1 0 1 1 1 1 0 1 0 0 0 0 1 1 0 1 0 0
 0 0 1 0 1 1 1 0 1 1]","21.06.2023, 16:08:38",1
45,68,"[1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 0 0 0 0 1 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 1
 1 1 1 0 0 0 1 0 0 1 0 1 1 1 1 0 1 1 0 0 0 0 0 1 1 1 1 0 1 1 0 0 0 0 1 0 1
 0 1 1 1 0 1 0 0 0 0 1 1 0 1 1 1 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 0 0 0 1
 1 0 1 0 0 1 1 0 1 0]","21.06.2023, 16:08:38",1
46,59,"[1 0 1 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 0 1 1 0 1 0 0 1 0 1 1 1 1 1
 0 0 1 0 0 1 0 0 1 1 1 0 1 1 0 0 1 0 0 0 0 1 0 1 1 1 1 0 1 0 0 1 1 1 1 0 1
 0 1 0 1 0 1 1 0 0 1 0 0 0 1 1 0 1 0 1 0 0 1 1 1 1 0 1 1 1 0 0 1 0 0 0 0 0
 1 0 0 0 0 1 1 1 1 1]","21.06.2023, 16:08:38",1
47,73,"[1 0 1 1 0 1 0 0 0 1 1 1 1 1 1 0 1 0 0 0 0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0
 0 0 0 0 0 1 1 0 1 1 0 1 1 1 1 0 1 0 1 0 1 1 1 1 1 0 1 0 1 0 1 1 1 0 1 0 0
 1 0 1 1 1 1 1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 0
 1 0 0 1 1 1 1 1 1 0]","21.06.2023, 16:08:38",1
48,66,"[1 0 1 1 1 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 0 1 0 0 0 1 1 1 0 0 1 1 0 1 1 1
 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 1 1 1 1 0 0 1 1 1 1 0 0 0 0 1 0 1 1 0 0 0 0
 1 1 1 0 1 0 0 1 0 0 0 1 1 1 0 0 0 1 1 1 0 1 0 1 0 0 1 0 1 0 0 1 1 1 0 1 1
 1 0 0 1 1 1 1 1 0 1]","21.06.2023, 16:08:38",1
